   1: max:0.143, min:0.000, mean:0.054
   2: max:0.179, min:0.000, mean:0.076
   3: max:0.179, min:0.036, mean:0.089
   4: max:0.179, min:0.036, mean:0.101
   5: max:0.179, min:0.071, mean:0.118
   6: max:0.214, min:0.071, mean:0.135
   7: max:0.214, min:0.036, mean:0.142
   8: max:0.214, min:0.071, mean:0.155
   9: max:0.250, min:0.107, mean:0.171
  10: max:0.250, min:0.143, mean:0.185
  11: max:0.250, min:0.071, mean:0.194
  12: max:0.286, min:0.143, mean:0.205
  13: max:0.286, min:0.143, mean:0.214
  14: max:0.286, min:0.107, mean:0.220
  15: max:0.286, min:0.143, mean:0.229
  16: max:0.286, min:0.179, mean:0.238
  17: max:0.321, min:0.179, mean:0.245
  18: max:0.321, min:0.179, mean:0.249
  19: max:0.321, min:0.179, mean:0.250
  20: max:0.321, min:0.179, mean:0.258
  21: max:0.357, min:0.143, mean:0.264
  22: max:0.357, min:0.214, mean:0.272
  23: max:0.357, min:0.214, mean:0.283
  24: max:0.357, min:0.179, mean:0.290
  25: max:0.357, min:0.214, mean:0.300
  26: max:0.357, min:0.214, mean:0.314
  27: max:0.393, min:0.250, mean:0.322
  28: max:0.393, min:0.214, mean:0.327
  29: max:0.393, min:0.214, mean:0.328
  30: max:0.393, min:0.250, mean:0.333
  31: max:0.429, min:0.250, mean:0.338
  32: max:0.429, min:0.250, mean:0.341
  33: max:0.429, min:0.250, mean:0.347
  34: max:0.429, min:0.286, mean:0.355
  35: max:0.464, min:0.286, mean:0.374
  36: max:0.464, min:0.286, mean:0.378
  37: max:0.429, min:0.286, mean:0.376
  38: max:0.429, min:0.286, mean:0.388
  39: max:0.429, min:0.321, mean:0.399
  40: max:0.464, min:0.321, mean:0.402
  41: max:0.464, min:0.286, mean:0.402
  42: max:0.464, min:0.321, mean:0.405
  43: max:0.464, min:0.321, mean:0.409
  44: max:0.464, min:0.321, mean:0.407
  45: max:0.464, min:0.321, mean:0.405
  46: max:0.464, min:0.321, mean:0.412
  47: max:0.464, min:0.286, mean:0.414
  48: max:0.464, min:0.321, mean:0.416
  49: max:0.500, min:0.357, mean:0.420
  50: max:0.500, min:0.357, mean:0.422
  51: max:0.500, min:0.321, mean:0.427
  52: max:0.500, min:0.321, mean:0.429
  53: max:0.500, min:0.286, mean:0.434
  54: max:0.500, min:0.321, mean:0.439
  55: max:0.500, min:0.357, mean:0.451
  56: max:0.536, min:0.357, mean:0.457
  57: max:0.500, min:0.357, mean:0.468
  58: max:0.536, min:0.357, mean:0.465
  59: max:0.536, min:0.393, mean:0.471
  60: max:0.536, min:0.393, mean:0.472
  61: max:0.536, min:0.393, mean:0.476
  62: max:0.500, min:0.393, mean:0.471
  63: max:0.536, min:0.357, mean:0.472
  64: max:0.536, min:0.393, mean:0.479
  65: max:0.536, min:0.357, mean:0.477
  66: max:0.536, min:0.357, mean:0.475
  67: max:0.571, min:0.357, mean:0.477
  68: max:0.536, min:0.393, mean:0.483
  69: max:0.571, min:0.357, mean:0.484
  70: max:0.571, min:0.393, mean:0.486
  71: max:0.571, min:0.393, mean:0.485
  72: max:0.571, min:0.393, mean:0.493
  73: max:0.571, min:0.393, mean:0.493
  74: max:0.571, min:0.357, mean:0.500
  75: max:0.571, min:0.393, mean:0.502
  76: max:0.571, min:0.393, mean:0.502
  77: max:0.571, min:0.357, mean:0.500
  78: max:0.571, min:0.357, mean:0.504
  79: max:0.571, min:0.393, mean:0.505
  80: max:0.607, min:0.393, mean:0.504
  81: max:0.607, min:0.393, mean:0.515
  82: max:0.607, min:0.393, mean:0.519
  83: max:0.571, min:0.393, mean:0.527
  84: max:0.571, min:0.429, mean:0.535
  85: max:0.571, min:0.429, mean:0.535
  86: max:0.571, min:0.464, mean:0.531
  87: max:0.607, min:0.429, mean:0.529
  88: max:0.571, min:0.464, mean:0.528
  89: max:0.571, min:0.429, mean:0.529
  90: max:0.643, min:0.429, mean:0.531
  91: max:0.643, min:0.429, mean:0.534
  92: max:0.643, min:0.429, mean:0.536
  93: max:0.643, min:0.429, mean:0.535
  94: max:0.643, min:0.429, mean:0.546
  95: max:0.643, min:0.429, mean:0.557
  96: max:0.643, min:0.464, mean:0.562
  97: max:0.643, min:0.464, mean:0.565
  98: max:0.643, min:0.429, mean:0.562
  99: max:0.643, min:0.464, mean:0.566
 100: max:0.643, min:0.464, mean:0.564
 101: max:0.643, min:0.429, mean:0.570
 102: max:0.643, min:0.500, mean:0.570
 103: max:0.679, min:0.464, mean:0.577
 104: max:0.679, min:0.464, mean:0.574
 105: max:0.679, min:0.500, mean:0.583
 106: max:0.643, min:0.464, mean:0.584
 107: max:0.643, min:0.464, mean:0.586
 108: max:0.643, min:0.464, mean:0.583
 109: max:0.643, min:0.500, mean:0.584
 110: max:0.643, min:0.500, mean:0.584
 111: max:0.643, min:0.500, mean:0.580
 112: max:0.679, min:0.500, mean:0.586
 113: max:0.679, min:0.464, mean:0.588
 114: max:0.643, min:0.464, mean:0.586
 115: max:0.643, min:0.500, mean:0.581
